system   D            wsystem.c:583  maybe_parent_dir                 [   0.00245] Also searching D:\Users\Ed Starkey\Google Drive\Git Repositories\Project 1\
display  D   display_settings.c:191  debug_display_settings           [   0.09630] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09632] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09634] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09636] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09638] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09641] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09643] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09645] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09647] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09650] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09655] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09657] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09659] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09662] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09664] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09666] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09668] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09671] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09673] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09675] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09677] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09680] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09682] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09684] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09687] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09689] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09691] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09693] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09695] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09698] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09700] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09702] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09704] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09707] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09709] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09711] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09713] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09715] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09718] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09720] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09722] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09725] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09727] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09729] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09731] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09734] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09736] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09738] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09740] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09742] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09744] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09747] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09749] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09751] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09753] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09756] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09758] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09760] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09762] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09764] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09766] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09769] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09771] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09773] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09775] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09777] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09780] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09782] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09784] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09787] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09789] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09791] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09793] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09796] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09798] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09800] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09802] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09805] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09807] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09809] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09811] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09814] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09816] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09818] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09820] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09822] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09824] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09827] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09829] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09831] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09833] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09836] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09838] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09840] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09842] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09845] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09847] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09849] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09851] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09854] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09856] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09858] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09860] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09864] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09867] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09869] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09871] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09873] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09875] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09878] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09881] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09883] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09885] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09887] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09890] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09892] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09894] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09896] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09898] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09901] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09903] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09905] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09907] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09910] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09912] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09914] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09916] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09918] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09920] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09923] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09925] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09927] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09929] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09932] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09934] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09936] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09938] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09941] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09943] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09945] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09947] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09950] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09952] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09954] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09956] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09958] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09960] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09963] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09965] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09967] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09969] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09971] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09973] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09976] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09978] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09981] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09983] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09985] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09987] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09989] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09991] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09994] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09996] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09998] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10000] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10003] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10005] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10008] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10010] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10013] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10015] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10017] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10019] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10022] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10024] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10026] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10028] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10031] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10033] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10035] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10037] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10040] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10042] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10044] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10047] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10049] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10051] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10054] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10056] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10058] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10060] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10063] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10065] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10067] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10069] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10072] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10074] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10077] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10079] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10082] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10084] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10086] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10089] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10091] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10093] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10095] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10098] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10100] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10102] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10105] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10107] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10109] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10111] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10114] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10116] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10118] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10120] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10123] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10125] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10127] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10129] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10132] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10134] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10136] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10138] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.10141] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10143] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10148] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10150] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.10152] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10154] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
